0xbf81a167L _xxxManageKeyboardModifiers@8
0xbf81a228L _ZwCloseProtectedHandle@4
0xbf81a240L _SetGlobalKeyboardTableInfo@4
0xbf81a28dL _NtUserSetChildWindowNoActivate@4
0xbf81a2fcL _FadeDesktop@16
0xbf81a4acL _GreGetDeviceGammaRamp@8
0xbf81a547L _GreGetDeviceGammaRampInternal@8
0xbf81a5d5L _PrepareGammaRampData@12
0xbf81a6f7L _xxxSwitchDesktopWithFade@16
0xbf81a7f9L _UserSleep@4
0xbf81a82fL _LayerHitTest@12
0xbf81a86dL _GreSetDeviceGammaRamp@12
0xbf81a90bL _GreSetDeviceGammaRampInternal@12
0xbf81ab4dL _NtUserUnlockWindowStation@4
0xbf81ab92L __UnlockWindowStation@4
